Date,Price,Open,High,Low,Vol.,Change %
"May 20, 2025",66.10,65.66,66.13,65.22,11.27K,+0.70%
"May 19, 2025",65.64,65.10,66.05,64.88,21.60K,+1.16%
"May 16, 2025",64.89,65.45,65.89,64.75,19.02K,-0.83%
"May 15, 2025",65.43,65.53,65.74,64.86,24.62K,-0.08%
"May 14, 2025",65.48,66.42,66.71,65.43,25.33K,-1.21%
"May 13, 2025",66.28,66.70,67.23,66.25,19.98K,-0.53%
"May 12, 2025",66.63,67.61,68.89,66.57,31.55K,+0.03%
"May 09, 2025",66.61,66.69,67.22,66.40,16.36K,-0.12%
"May 08, 2025",66.69,67.38,67.71,66.22,21.53K,-5.36%
"May 07, 2025",70.47,70.47,70.47,70.47,24.94K,-2.04%
"May 06, 2025",71.94,70.85,73.50,70.85,0.01K,+2.26%
"May 05, 2025",70.35,70.35,70.35,70.35,0.00K,+0.24%
"May 02, 2025",70.18,70.18,70.18,70.18,36.51K,+6.97%
"May 01, 2025",65.61,65.61,65.61,65.61,16.00K,-0.62%
"Apr 30, 2025",66.02,66.49,66.63,65.71,20.91K,-0.71%
"Apr 29, 2025",66.49,67.58,67.81,66.11,26.37K,-1.57%
"Apr 28, 2025",67.55,68.80,68.86,67.29,21.71K,-1.82%
"Apr 25, 2025",68.80,69.15,69.75,68.45,20.41K,-0.53%
"Apr 24, 2025",69.17,68.90,69.48,68.63,28.39K,+0.20%
"Apr 23, 2025",69.03,67.40,69.60,67.18,45.31K,+2.69%
"Apr 22, 2025",67.22,66.86,67.37,66.44,22.64K,+0.60%
"Apr 21, 2025",66.82,67.20,67.40,66.21,19.17K,-0.46%
